eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/learning_rate,train/explained_variance,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/loss,train/clip_range,train/approx_kl,train/std,train/n_updates
5.0,4600,264.48112964630127,,,,,,0.0003,0.13859128952026367,-3.8649847239255903,-0.011128224142303222,7154.181922149658,0.4625000098720193,2401.809326171875,0.2,0.032985814,0.8799046874046326,1140
,4600,,3910,115,144.22386855999997,3.41,1,,,,,,,,,,,
5.0,4640,348.5480422973633,,,,,,0.0003,0.1743047833442688,-3.8573316812515257,-0.027462271852637055,7208.219039916992,0.32750000786036254,2148.84130859375,0.2,0.018455323,0.8775035738945007,1150
,4640,,3934,116,144.58252942,3.46,1,,,,,,,,,,,
5.0,4680,284.6030697822571,,,,,,0.0003,0.13594186305999756,-3.8447759687900542,-0.013127877002989407,11779.416849517822,0.16250000298023223,5888.361328125,0.2,0.024711814,0.8735308051109314,1160
,4680,,3980,117,149.87685110999996,3.55,1,,,,,,,,,,,
4.0,4720,176.68210983276367,,,,,,0.0003,0.03361397981643677,-3.8315958440303803,-0.033526234457385715,10796.170150756836,0.25500000491738317,8912.486328125,0.2,0.015408479,0.8695947527885437,1170
,4720,,4004,118,154.35204561,3.61,1,,,,,,,,,,,
5.0,4760,213.85474967956543,,,,,,0.0003,0.2616223692893982,-3.819176399707794,-0.0010860335470351812,4692.814351654053,0.15250000339001418,2073.704833984375,0.2,0.030520037,0.8669947981834412,1180
,4760,,4025,119,152.23845911,3.68,1,,,,,,,,,,,
5.0,4800,223.93622207641602,,,,,,0.0003,0.09033548831939697,-3.8068674951791763,-0.03166995291310739,4392.718133926392,0.38000000938773154,1990.5272216796875,0.2,0.019046873,0.862607479095459,1190
,4800,,4044,120,153.77355411999997,3.68,1,,,,,,,,,,,
2.0,4840,45.565345764160156,,,,,,0.0003,0.05006498098373413,-3.7952768355607986,-0.007264774579634814,7676.480224609375,0.21000000443309547,5175.21435546875,0.2,0.008163005,0.8604674339294434,1200
,4840,,4066,121,150.82057457999997,3.67,1,,,,,,,,,,,
5.0,4880,266.03157806396484,,,,,,0.0003,0.1910199522972107,-3.789442038536072,-0.02139616790722356,5489.798555755615,0.2425000049173832,976.215087890625,0.2,0.0342465,0.8601843118667603,1210
,4880,,4088,122,147.37500065,3.57,1,,,,,,,,,,,
5.0,4920,120.48355293273926,,,,,,0.0003,0.102561354637146,-3.7889227747917174,-0.030739942334184887,8775.172736930846,0.38000000901520253,3636.054443359375,0.2,0.030315245,0.8601672053337097,1220
,4920,,4106,123,157.25359654000002,3.58,1,,,,,,,,,,,
4.0,4960,189.68004989624023,,,,,,0.0003,0.23955267667770386,-3.7875945389270784,-0.02042107683264476,14900.291905212402,0.23250000532716514,2991.399169921875,0.2,0.033051126,0.8594033122062683,1230
,4960,,4126,124,169.60027350000001,3.69,1,,,,,,,,,,,
5.0,5000,423.93895721435547,,,,,,0.0003,0.17375755310058594,-3.78434117436409,-0.002273931169256693,15954.234812927247,0.057500001043081284,2373.985107421875,0.2,0.0012536957,0.8589053153991699,1240
,5000,,4149,125,166.12585179,3.65,1,,,,,,,,,,,
5.0,5040,228.86833572387695,,,,,,0.0003,0.10471737384796143,-3.780757763981819,-0.01119734719639382,13822.045126342773,0.27500000651925804,14499.5078125,0.2,0.019123062,0.8582663536071777,1250
,5040,,4168,126,178.22777469000005,3.73,1,,,,,,,,,,,
4.0,5080,145.94348907470703,,,,,,0.0003,0.25531190633773804,-3.7746112048625946,0.0055325265627470975,7918.735357666015,0.41750000715255736,5141.9423828125,0.2,0.08327767,0.8542665243148804,1260
,5080,,4191,127,186.62377778,3.73,1,,,,,,,,,,,
5.0,5120,193.42742109298706,,,,,,0.0003,0.25151878595352173,-3.7643351316452027,-0.03592176672245841,10145.028025817872,0.34000000823289156,1023.7129516601562,0.2,0.031526074,0.8532881140708923,1270
,5120,,4212,128,200.84563874,3.85,1,,,,,,,,,,,
5.0,5160,282.8985843658447,,,,,,0.0003,0.2725676894187927,-3.760259875655174,-0.024090363351569978,8827.068116760254,0.2325000051409006,296.1295166015625,0.2,0.019468063,0.8516721129417419,1280
,5160,,4232,129,203.73822621,3.78,1,,,,,,,,,,,
5.0,5200,358.9859733581543,,,,,,0.0003,-0.015526056289672852,-3.7584567099809645,0.0023415696731535762,16233.073916625977,0.1325000025331974,7233.38232421875,0.2,0.013244081,0.8519201278686523,1290
,5200,,4260,130,200.26713486999998,3.67,1,,,,,,,,,,,
5.0,5240,448.12083435058594,,,,,,0.0003,0.1223495602607727,-3.7530625373125077,-0.00901046589322505,9484.56138305664,0.22500000484287738,3155.07421875,0.2,0.0153508065,0.8491975665092468,1300
,5240,,4279,131,217.00727820999998,3.77,1,,,,,,,,,,,
5.0,5280,410.1984558105469,,,,,,0.0003,0.03444880247116089,-3.7434553056955338,-0.004010097698774184,23460.164920043946,0.26250000558793546,10037.533203125,0.2,0.04216704,0.8462451696395874,1310
,5280,,4301,132,206.96739326000002,3.7,1,,,,,,,,,,,
5.0,5320,209.80302000045776,,,,,,0.0003,0.24009829759597778,-3.734232720732689,-0.029215058590925762,6943.36199092865,0.5525000130757689,1270.22802734375,0.2,0.041429713,0.8466383218765259,1320
,5320,,4321,133,193.64729393000005,3.56,1,,,,,,,,,,,
5.0,5360,156.11971378326416,,,,,,0.0003,0.1138191819190979,-3.73347584605217,-0.01623995994563302,12991.17732849121,0.28500000592321156,7606.16455078125,0.2,0.0144382045,0.8446166515350342,1330
,5360,,4343,134,203.77298118000002,3.69,1,,,,,,,,,,,
2.0,5400,76.36548614501953,,,,,,0.0003,0.19131916761398315,-3.7288554280996324,-0.026429709504009226,17263.976126861573,0.26250000558793546,21428.65625,0.2,0.027977126,0.8447765111923218,1340
,5400,,4376,135,195.58616769000002,3.62,1,,,,,,,,,,,
