eval/mean_reward,time/total_timesteps,eval/mean_ep_length,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/clip_fraction,train/policy_gradient_loss,train/std,train/clip_range,train/learning_rate,train/loss,train/approx_kl,,,
81.02859402,3560,5,,,,,,9279.600769,-4.18158102,88,0.013618767,0,-0.004863235,0.975665092,0.2,0.0003,4335.413574,0.000330262,,,
,3560,,4031,0,89,80.45517216,2.56,,,,,,,,,,,,,,
359.0020142,3600,5,,,,,,3914.057648,-4.181877613,89,0.049560905,0,0.006337585,0.975728929,0.2,0.0003,1178.100464,0.000611272,,,
,3600,,4053,0,90,79.55510717,2.47,,,,,,,,,,,,,,
-5,3640,1,,,,,,17942.45142,-4.181897461,90,0.005023718,0,0.00269554,0.975696325,0.2,0.0003,10284.80664,0.000400135,,,
,3640,,4129,0,91,73.81482833,2.41,,,,,,,,,,,,,,
105.7745934,3680,5,,,,,,4403.573944,-4.181765854,91,0.000242054,0,0.000292581,0.975610018,0.2,0.0003,1409.235229,0.000145809,,,
,3680,,4149,0,92,77.05901467,2.45,,,,,,,,,,,,,,
235.2543926,3720,5,,,,,,10001.52567,-4.181222558,92,0.004985809,0,-0.00218506,0.9753685,0.2,0.0003,2345.980713,0.000901957,,,
,3720,,4195,0,93,75.27658414,2.42,,,,,,,,,,,,,,
143.9463038,3760,5,,,,,,16454.82678,-4.180559099,93,-0.033803344,0,4.15E-05,0.975208521,0.2,0.0003,1825.385376,0.000112408,,,
,3760,,4215,0,94,76.62382004,2.46,,,,,,,,,,,,,,
64.88411522,3800,5,,,,,,19346.16528,-4.180221677,94,-0.00854373,0,-0.001120261,0.975142479,0.2,0.0003,4666.083984,5.79E-05,,,
,3800,,4235,0,95,85.7378744,2.6,,,,,,,,,,,,,,
328.7375984,3840,5,,,,,,10273.57266,-4.180006206,95,-0.008508921,0,0.002117449,0.975040138,0.2,0.0003,6328.750977,9.46E-05,,,
,3840,,4300,0,96,91.5609754,2.68,,,,,,,,,,,,,,
166.7613716,3880,3,,,,,,14767.9729,-4.179621041,96,-0.037045002,0,-7.58E-05,0.974949121,0.2,0.0003,5212.756348,3.51E-05,,,
,3880,,4357,0,97,93.94324677,2.72,,,,,,,,,,,,,,
362.4138203,3920,5,,,,,,7654.268555,-4.17972064,97,-0.044579625,0,-0.019560782,0.975091219,0.2,0.0003,8334.071289,0.001074141,,,
,3920,,4380,0,98,111.8883926,2.84,,,,,,,,,,,,,,
35.51561737,3960,2,,,,,,35742.09109,-4.179991901,98,0.01314491,0,0.003582281,0.975153208,0.2,0.0003,23961.66992,0.000647438,,,
,3960,,4405,0,99,110.4847786,2.87,,,,,,,,,,,,,,
7.397266865,4000,3,,,,,,6978.328491,-4.180161238,99,0.042206168,0,-0.000860029,0.975211024,0.2,0.0003,5384.096191,0.000160398,,,
,4000,,4427,0,100,122.6549428,2.97,,,,,,,,,,,,,,
391.3935356,4040,5,,,,,,8528.396973,-4.180297673,100,-0.016142964,0,0.001086223,0.975224018,0.2,0.0003,4064.444824,0.000293122,,,
,4040,,4452,0,101,112.6896494,2.82,,,,,,,,,,,,,,
36.4732399,4080,4,,,,,,17308.20911,-4.180206418,101,-0.010797858,0,-0.00024219,0.97517097,0.2,0.0003,6781.462891,6.04E-05,,,
,4080,,4474,0,102,117.2863507,2.83,,,,,,,,,,,,,,
391.5645638,4120,5,,,,,,19724.05153,-4.180073142,102,0.003914177,0,0.000490154,0.975157976,0.2,0.0003,6286.522949,1.47E-05,,,
,4120,,4496,0,103,114.4336373,2.75,,,,,,,,,,,,,,
615.3361435,4160,5,,,,,,17786.28253,-4.180000365,103,0.015074849,0,0.000300936,0.975083828,0.2,0.0003,7802.686523,1.01E-05,,,
,4160,,4522,0,104,117.2521112,2.78,,,,,,,,,,,,,,
128.5799298,4200,4,,,,,,17618.61423,-4.179663837,104,-0.010765553,0,-0.00448733,0.974982977,0.2,0.0003,5999.601563,0.000132921,,,
,4200,,4542,0,105,113.9102617,2.83,,,,,,,,,,,,,,
108.7047729,4240,2,,,,,,9776.80748,-4.179313719,105,-0.026119113,0,-0.001632904,0.974808097,0.2,0.0003,4901.373047,0.000179552,,,
,4240,,4562,0,106,110.5478729,2.77,,,,,,,,,,,,,,
271.5140343,4280,5,,,,,,6556.349472,-4.178675473,106,0.004248857,0,0.003147935,0.974562824,0.2,0.0003,2900.34082,0.000112814,,,
,4280,,4601,0,107,102.7654939,2.71,,,,,,,,,,,,,,
43.05918121,4320,5,,,,,,6743.239563,-4.177640498,107,-0.026618361,0,0.001874658,0.974183261,0.2,0.0003,1409.888916,0.001551037,,,
,4320,,4627,0,108,107.1246531,2.82,,,,,,,,,,,,,,
283.3713989,4360,3,,,,,,5428.582973,-4.176738739,108,-0.027618289,0,0.002955702,0.974011779,0.2,0.0003,197.1664429,0.000465666,,,
,4360,,4649,0,109,101.005562,2.81,,,,,,,,,,,,,,
141.2938179,4400,5,,,,,,15435.30157,-4.176156819,109,0.015926123,0,-0.000450776,0.973752856,0.2,0.0003,4278.447754,0.000463413,,,
,4400,,4720,0,110,99.33482411,2.73,,,,,,,,,,,,,,
303.1278267,4440,5,,,,,,12537.26038,-4.175414801,110,-0.008815885,0,-0.001070142,0.973602772,0.2,0.0003,5136.321777,7.98E-05,,,
,4440,,4746,0,111,93.97862794,2.74,,,,,,,,,,,,,,
59.60788918,4480,4,,,,,,9369.563965,-4.175003767,111,0.012736976,0,-0.003754781,0.97347635,0.2,0.0003,3421.326416,0.000245304,,,
,4480,,4770,0,112,97.1479425,2.77,,,,,,,,,,,,,,
-5,4520,1,,,,,,13007.90482,-4.174632132,112,0.015516639,0,0.000550291,0.97337687,0.2,0.0003,6474.955078,0.000562401,,,
,4520,,4787,0,113,107.3539154,2.84,,,,,,,,,,,,,,
53.13678551,4560,3,,,,,,12549.09216,-4.174438894,113,-0.001513004,0,-0.000275544,0.973349333,0.2,0.0003,2213.237549,1.60E-05,,,
,4560,,4809,0,114,113.7345168,2.95,,,,,,,,,,,,,,
390.8436279,4600,5,,,,,,10551.32275,-4.173957884,114,-0.061129451,0,-0.003235238,0.973043442,0.2,0.0003,4509.802734,0.000699969,,,
,4600,,4828,0,115,121.2048072,3.06,,,,,,,,,,,,,,
331.5327606,4640,5,,,,,,7685.222916,-4.173289537,115,0.00807184,0,0.000825584,0.972929955,0.2,0.0003,9892.401367,0.000114864,,,
,4640,,4869,0,116,115.8034128,2.93,,,,,,,,,,,,,,
519.0221825,4680,5,,,,,,6980.289764,-4.172966301,116,-0.037255406,0,0.000694833,0.972794414,0.2,0.0003,2929.061035,1.45E-05,,,
,4680,,4890,0,117,110.9676374,2.95,,,,,,,,,,,,,,
146.2000313,4720,4,,,,,,10239.39764,-4.172499001,117,-0.02183342,0,-0.002736194,0.972663581,0.2,0.0003,3476.140137,5.74E-05,,,
,4720,,4911,0,118,107.8391262,2.92,,,,,,,,,,,,,,
