time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/clip_fraction,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss,train/approx_kl,train/std,train/clip_range,train/n_updates
3280,24.33422017097473,3.0,,,,,,0.23750000521540643,0.1420729160308838,0.0003,-0.020503606810234488,7989.760603332519,1519.9267578125,-4.068753612041474,0.021311013,0.9416704177856445,0.2,810
3280,,,82,0,3.39,3767,108.16600772,,,,,,,,,,,
3320,360.39646911621094,5.0,,,,,,0.207500003837049,0.030081987380981445,0.0003,-0.017611837939839458,5050.8979545593265,1498.873291015625,-4.066180068254471,0.011099808,0.9412674307823181,0.2,820
3320,,,83,0,3.35,3791,106.30163877999999,,,,,,,,,,,
3360,285.4987564086914,5.0,,,,,,0.1375000026077032,0.04288893938064575,0.0003,-0.017912504328705836,15226.091198730468,6349.90478515625,-4.064628249406814,0.011837516,0.9406800270080566,0.2,830
3360,,,84,0,3.46,3817,117.69842159000001,,,,,,,,,,,
3400,298.1495361328125,5.0,,,,,,0.23000000547617674,0.07752156257629395,0.0003,-0.026251769959435477,10124.46512298584,4647.86474609375,-4.061568111181259,0.016003028,0.939595103263855,0.2,840
3400,,,85,0,3.49,3841,129.55366171000003,,,,,,,,,,,
3440,238.33675003051758,5.0,,,,,,0.16750000342726706,-0.008223533630371094,0.0003,-8.463153892079855e-05,13690.100261306763,5008.4892578125,-4.057428538799286,0.011370208,0.9378122091293335,0.2,850
3440,,,86,0,3.57,3870,136.23820748,,,,,,,,,,,
3480,33.80244541168213,5.0,,,,,,0.1875000039115548,0.08296895027160645,0.0003,-0.004975271977709817,10170.985229492188,7759.25244140625,-4.053184884786606,0.0100480765,0.9367679953575134,0.2,860
3480,,,87,0,3.67,3895,139.24204212,,,,,,,,,,,
3520,17.238674640655518,5.0,,,,,,0.23250000569969415,0.04533463716506958,0.0003,-0.025177175648859684,10567.28401184082,3822.450927734375,-4.047641253471374,0.025427617,0.9353698492050171,0.2,870
3520,,,88,0,3.74,3923,150.76735104,,,,,,,,,,,
