time/episodes,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/critic_loss,train/n_updates,train/actor_loss,train/learning_rate
788,4655,-4.38861144,1.22,1571,0,,,0.4618631601333618,1470,5.0780768394470215,0.001
792,4661,-5.85,1.17,1576,0,,,0.0857805572450161,1475,5.105827331542969,0.001
796,4665,-5.85,1.17,1580,0,,,0.07590298354625702,1479,5.007145404815674,0.001
800,4669,-5.95,1.19,1586,0,,,0.365817055106163,1485,5.187848091125488,0.001
804,4673,-5.95,1.19,1590,0,,,0.36312031745910645,1489,5.1075263023376465,0.001
808,4676,-5.95,1.19,1594,0,,,0.30806952714920044,1493,5.179637432098389,0.001
,,,,1600,,-10.0,2.0,0.3037480153143406,1498,5.2097086906433105,0.001
812,4686,-6.05,1.21,1601,0,,,0.18323227763175964,1500,5.233911037445068,0.001
816,4689,-6.05,1.21,1605,0,,,0.48854589462280273,1504,5.495578765869141,0.001
820,4694,-5.95,1.19,1610,0,,,0.5871085077524185,1509,5.052999973297119,0.001
824,4697,-5.75,1.15,1614,0,,,0.14363013207912445,1513,5.1395697593688965,0.001
828,4701,-5.75,1.15,1618,0,,,0.35804325342178345,1517,5.215064525604248,0.001
832,4704,-5.7,1.14,1622,0,,,0.15435126423835754,1521,4.808760166168213,0.001
836,4709,-5.7,1.14,1628,0,,,1.2523047924041748,1526,4.888977527618408,0.001
840,4714,-5.7,1.14,1633,0,,,0.914766788482666,1532,4.774715423583984,0.001
844,4717,-5.75,1.15,1638,0,,,0.3580556735396385,1537,4.804851055145264,0.001
,,,,1640,,-10.0,2.0,0.40360841155052185,1539,5.469039440155029,0.001
848,4725,-5.8,1.16,1643,0,,,0.5255731344223022,1542,5.392039775848389,0.001
852,4728,-5.8,1.16,1647,0,,,0.4472631812095642,1546,4.724377632141113,0.001
856,4733,-5.75,1.15,1651,0,,,0.8755589723587036,1550,5.397792339324951,0.001
860,4736,-5.85,1.17,1657,0,,,0.6140725165605545,1556,5.385193824768066,0.001
864,4756,-5.9,1.18,1663,0,,,1.2094282507896423,1561,5.237234115600586,0.001
868,4759,-5.9,1.18,1667,0,,,1.2964873313903809,1566,5.254296779632568,0.001
872,4817,-5.95,1.19,1672,0,,,0.5689418613910675,1571,5.318094730377197,0.001
876,4821,-5.95,1.19,1677,0,,,0.3976321518421173,1576,5.085019588470459,0.001
,,,,1680,,-10.0,2.0,0.5698350667953491,1579,5.016157150268555,0.001
880,4829,-6.05,1.21,1683,0,,,0.2582238242030144,1581,5.0558037757873535,0.001
884,4832,-6.05,1.21,1687,0,,,0.29017308354377747,1586,5.375184059143066,0.001
888,4835,-6.0,1.2,1691,0,,,0.5018519759178162,1590,5.062908172607422,0.001
892,4838,-6.0,1.2,1696,0,,,0.2061287760734558,1595,5.381190776824951,0.001
896,4843,-6.1,1.22,1702,0,,,1.1072785258293152,1600,5.27781343460083,0.001
900,4846,-6.05,1.21,1707,0,,,1.8316905498504639,1606,4.916529178619385,0.001
904,4848,-6.1,1.22,1712,0,,,1.068546175956726,1611,5.04083776473999,0.001
908,4852,-6.25,1.25,1719,0,,,1.5189435482025146,1617,5.472001552581787,0.001
,,,,1720,,-5.0,1.0,0.8995068073272705,1619,5.4413275718688965,0.001
912,4859,-6.15,1.23,1724,0,,,1.7662560939788818,1622,5.7908196449279785,0.001
916,4863,-6.3,1.26,1731,0,,,1.3629249930381775,1630,5.850988864898682,0.001
920,4867,-6.35,1.27,1737,0,,,0.6227779388427734,1635,5.44625997543335,0.001
924,4871,-6.45,1.29,1743,0,,,1.3468890488147736,1642,5.531176567077637,0.001
928,4876,-6.55,1.31,1749,0,,,1.1689056158065796,1647,5.53389310836792,0.001
932,4880,-6.6,1.32,1754,0,,,0.4133812189102173,1653,5.292749881744385,0.001
,,,,1760,,-15.0,3.0,0.9279688596725464,1657,5.166578769683838,0.001
936,4892,-6.7,1.34,1762,0,,,1.005459765593211,1660,5.5244691371917725,0.001
940,4896,-6.7,1.34,1767,0,,,1.2001426219940186,1666,5.330660343170166,0.001
944,4902,-7.15158382,1.44,1782,0,,,3.289041781425476,1677,5.292354583740234,0.001
948,4906,-7.301583820000001,1.47,1790,0,,,5.371792221069336,1689,4.417773485183716,0.001
,,,,1800,,-25.0,5.0,9.014312744140625,1698,6.183983325958252,0.001
952,4916,-7.7515838200000005,1.56,1803,0,,,,,,
956,4920,-8.201583820000002,1.65,1816,0,,,4.193140864372253,1715,6.709645748138428,0.001
960,4925,-8.60158382,1.73,1830,0,,,2.5589342594146727,1727,5.95089864730835,0.001
