time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,train/std,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/learning_rate,train/approx_kl,eval/mean_reward,eval/mean_ep_length
3540,354,4020,62.90852929,1.94,0,0.9627239108085632,353,0.2,81003.958984375,-4.142038106918335,-0.017679691314697266,0.002821362158283769,0.0,57403.79296875,0.0003,3.3408403e-05,,
3550,355,4026,62.94822258999999,1.96,0,0.9626164436340332,354,0.2,28793.0478515625,-4.141654014587402,-0.019505977630615234,-0.00038238764391262947,0.0,7074.49609375,0.0003,5.76973e-06,,
3560,,,,,,0.9625271558761597,355,0.2,962.5155639648438,-4.141338586807251,-0.07713913917541504,-0.0009685814380659963,0.0,532.8668823242188,0.0003,1.4048815e-05,92.58030700683594,5.0
3560,356,4039,60.294604789999994,1.98,0,,,,,,,,,,,,,
3570,357,4064,62.33099962,2.0,0,0.9624699950218201,356,0.2,2513.7283325195312,-4.141078472137451,-0.05259060859680176,-0.002188503695651711,0.0,560.3251342773438,0.0003,4.4840574e-05,,
3580,358,4069,60.20468421,2.04,0,0.9624284505844116,357,0.2,22856.7001953125,-4.1409101486206055,-0.016124367713928223,0.0006207168335095048,0.0,8268.7431640625,0.0003,8.893013e-06,,
3590,359,4074,59.37397060999999,2.02,0,0.9623910784721375,358,0.2,3721.0320434570312,-4.140781879425049,-0.04123103618621826,0.0017734885914251208,0.0,517.0116577148438,0.0003,1.3148785e-05,,
3600,,,,,,0.962358832359314,359,0.2,1606.2610778808594,-4.1406660079956055,0.015614330768585205,-0.0002780914364848286,0.0,1141.1947021484375,0.0003,1.6927719e-06,-4.225000023841858,2.0
3600,360,4083,61.42724767000001,2.05,0,,,,,,,,,,,,,
3610,361,4089,62.95827415000001,2.06,0,0.9623014330863953,360,0.2,1022.288330078125,-4.14053750038147,0.07148081064224243,-0.001233035395853399,0.0,561.8231811523438,0.0003,1.8441677e-05,,
3620,362,4096,50.584798840000005,1.93,0,0.9622464179992676,361,0.2,4419.0731201171875,-4.1403422355651855,-0.03840208053588867,0.0014084458816796541,0.0,2011.929443359375,0.0003,1.9896032e-05,,
3630,363,4101,51.02706172,1.93,0,0.9622079730033875,362,0.2,1274.3664245605469,-4.140161037445068,-0.03062295913696289,0.005519759841263294,0.0,388.8985290527344,0.0003,9.980798e-05,,
