eval/mean_ep_length,eval/mean_reward,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,time/fps,train/approx_kl,train/policy_gradient_loss,train/explained_variance,train/std,train/clip_fraction,train/clip_range,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/loss
14.0,701.3965110778809,15700,,,,,,0.009331315,-0.00228587251767749,-0.06699728965759277,0.8835927844047546,0.19218750474974514,0.2,-3.879127587378025,88480.558203125,490,0.0003,31020.55078125
14.0,650.6078567504883,15800,,,,,,,,,,,,,,,,
20.0,1266.3317947387695,15900,,,,,,,,,,,,,,,,
20.0,1395.2186737060547,16000,,,,,,,,,,,,,,,,
,,16000,50,539.54828022,10.85,13792,1,,,,,,,,,,,
14.0,785.1747665405273,16100,,,,,,0.022596773,-0.004946401229117469,-0.08217024803161621,0.8819472789764404,0.14500000230036675,0.2,-3.875654821097851,111848.58732910156,500,0.0003,66793.2890625
20.0,1133.6202645301819,16200,,,,,,,,,,,,,,,,
20.0,511.67322570085526,16300,,,,,,,,,,,,,,,,
,,16320,51,589.17932336,11.83,13955,1,,,,,,,,,,,
20.0,878.8508006334305,16400,,,,,,0.0041954573,-0.0036350111956153343,-0.025948047637939453,0.8773645162582397,0.08437500160653144,0.2,-3.8645143434405327,79475.20424804688,510,0.0003,42105.5
20.0,850.8689098358154,16500,,,,,,,,,,,,,,,,
20.0,1325.800552368164,16600,,,,,,,,,,,,,,,,
,,16640,52,589.0157406,11.66,14517,1,,,,,,,,,,,
20.0,1159.0086612701416,16700,,,,,,0.010812158,-0.005027557443008845,-0.046299099922180176,0.8739118576049805,0.09843750190921127,0.2,-3.8495175004005433,109400.89567871093,520,0.0003,55429.76171875
14.0,392.52506816387177,16800,,,,,,,,,,,,,,,,
4.0,98.81696891784668,16900,,,,,,,,,,,,,,,,
,,16960,53,587.69095301,11.65,14639,1,,,,,,,,,,,
20.0,1066.31609249115,17000,,,,,,0.0046009314,-0.005983922409359366,-0.015112876892089844,0.8696632385253906,0.08125000139698386,0.2,-3.8369104832410814,89067.35610351563,530,0.0003,49781.7109375
20.0,1644.5384330749512,17100,,,,,,,,,,,,,,,,
7.0,83.06670570373535,17200,,,,,,,,,,,,,,,,
,,17280,54,588.56461507,11.72,49104,0,,,,,,,,,,,
18.0,979.2447509765625,17300,,,,,,0.016748365,-0.01027680358329235,0.013836860656738281,0.8663288950920105,0.16156250301282854,0.2,-3.824178624153137,87599.37509765624,540,0.0003,36703.546875
15.0,918.2930593490601,17400,,,,,,,,,,,,,,,,
12.0,726.3466415405273,17500,,,,,,,,,,,,,,,,
19.0,801.6422939300537,17600,,,,,,,,,,,,,,,,
,,17600,55,604.11850472,11.55,49821,0,,,,,,,,,,,
20.0,1056.6575889587402,17700,,,,,,0.005805704,-0.00929625469898383,-0.09980964660644531,0.8636910319328308,0.10375000224448741,0.2,-3.8142080321907996,99653.62973632812,550,0.0003,52895.640625
12.0,531.9516658782959,17800,,,,,,,,,,,,,,,,
15.0,952.5658569335938,17900,,,,,,,,,,,,,,,,
,,17920,56,600.3408756199999,11.81,50421,0,,,,,,,,,,,
13.0,847.3735122680664,18000,,,,,,0.0066396594,-0.011823234886620071,-0.12982618808746338,0.8668187856674194,0.1362500025657937,0.2,-3.8155191108584403,90642.14548339843,560,0.0003,40980.21875
5.0,234.76714706420898,18100,,,,,,,,,,,,,,,,
20.0,977.3819751739502,18200,,,,,,,,,,,,,,,,
,,18240,57,543.5186577899999,10.89,51051,0,,,,,,,,,,,
17.0,932.0922241210938,18300,,,,,,0.016170971,-0.0036134580072030077,0.018248260021209717,0.8618720769882202,0.09343750139232725,0.2,-3.812969036400318,91457.27036132812,570,0.0003,48216.2890625
16.0,1051.5838432312012,18400,,,,,,,,,,,,,,,,
19.0,1306.3264122009277,18500,,,,,,,,,,,,,,,,
,,18560,58,586.7566219099999,11.54,51724,0,,,,,,,,,,,
10.0,518.8392333984375,18600,,,,,,0.0118706245,-0.005257864558666369,-0.06903243064880371,0.8612493872642517,0.1446875023888424,0.2,-3.8020533129572867,98240.22512207032,580,0.0003,62139.19140625
16.0,890.498085975647,18700,,,,,,,,,,,,,,,,
20.0,1267.587836265564,18800,,,,,,,,,,,,,,,,
,,18880,59,574.56228994,11.32,52548,0,,,,,,,,,,,
6.0,220.13389587402344,18900,,,,,,0.0108534,0.002893193951013018,-0.03755497932434082,0.8602224588394165,0.10937500204890967,0.2,-3.796092635393143,92016.38627929687,590,0.0003,55861.70703125
18.0,1069.398593902588,19000,,,,,,,,,,,,,,,,
20.0,1524.9341049194336,19100,,,,,,,,,,,,,,,,
20.0,673.0697895288467,19200,,,,,,,,,,,,,,,,
,,19200,60,556.8329429099999,11.18,54190,0,,,,,,,,,,,
17.0,914.8309535980225,19300,,,,,,0.005476375,-0.004674086103068476,-0.004295468330383301,0.8543614149093628,0.08625000142492353,0.2,-3.7872989937663077,92981.73974609375,600,0.0003,43928.35546875
9.0,344.80701446533203,19400,,,,,,,,,,,,,,,,
17.0,1081.8880634307861,19500,,,,,,,,,,,,,,,,
,,19520,61,536.50296587,10.66,54849,0,,,,,,,,,,,
20.0,1184.00501537323,19600,,,,,,0.014123284,-0.0025568114085444903,-0.021142244338989258,0.8484339118003845,0.1615625032922253,0.2,-3.764377994835377,100460.84389648438,610,0.0003,53446.9921875
20.0,1286.665189743042,19700,,,,,,,,,,,,,,,,
20.0,947.105806350708,19800,,,,,,,,,,,,,,,,
,,19840,62,559.73780639,11.1,55947,0,,,,,,,,,,,
2.0,39.53707504272461,19900,,,,,,0.007501921,-0.004904780097035655,-0.03654658794403076,0.84101402759552,0.07968750165309757,0.2,-3.743716886639595,93320.05307617187,620,0.0003,47351.84375
16.0,1116.5160446166992,20000,,,,,,,,,,,,,,,,
20.0,1260.3424606323242,20100,,,,,,,,,,,,,,,,
,,20160,63,570.4881043800001,11.22,56507,0,,,,,,,,,,,
