time/total_timesteps,eval/mean_reward,eval/mean_ep_length,rollout/ep_len_mean,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/loss,train/explained_variance,train/n_updates,train/std,train/clip_range,train/approx_kl,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_fraction
3200,147.30282020568848,4.0,,,,,,494.04218807220457,631.73046875,0.0035625100135803223,790,0.887259840965271,0.2,0.029061437,-0.03007576054224046,-3.901815351843834,0.0003,0.36000000722706316
3200,,,1.82,80,4301,10.249454980000001,0,,,,,,,,,,,
3240,153.30903673171997,5.0,,,,,,1645.489492034912,74.12560272216797,-0.001904606819152832,800,0.881910502910614,0.2,0.0066086994,-0.008081326843239367,-3.880978026986122,0.0003,0.05500000100582838
3240,,,1.86,81,4332,10.549495109999999,0,,,,,,,,,,,
3280,91.69227167032659,5.0,,,,,,963.62526512146,549.00048828125,0.0096663236618042,810,0.8815833330154419,0.2,0.040844135,-0.03748096923576668,-3.870371621847153,0.0003,0.3350000074133277
3280,,,2.01,82,4364,14.325743500000002,0,,,,,,,,,,,
3320,60.253013610839844,3.0,,,,,,1540.1473873138427,438.87939453125,0.0003243684768676758,820,0.8825754523277283,0.2,0.0624543,-0.010804054920045015,-3.872541052103043,0.0003,0.3825000079348683
3320,,,1.97,83,4501,17.53364529,0,,,,,,,,,,,
3360,-5.0,1.0,,,,,,1765.438883781433,951.6140747070312,-0.02525627613067627,830,0.8816520571708679,0.2,0.017800337,-0.030475231654418167,-3.8724893629550934,0.0003,0.210000004991889
3360,,,1.97,84,4599,19.96097591,0,,,,,,,,,,,
3400,64.17617797851562,3.0,,,,,,747.5257621765137,395.4030456542969,0.016687512397766113,840,0.8759559392929077,0.2,0.0060981913,-0.006959586017273978,-3.8611709237098695,0.0003,0.07250000108033419
3400,,,1.98,85,4721,23.530829879999995,0,,,,,,,,,,,
3440,-5.0,1.0,,,,,,6342.903544044495,3573.225830078125,-0.02429056167602539,850,0.873611330986023,0.2,0.0073031327,-0.007496740139140456,-3.845844203233719,0.0003,0.02500000037252903
3440,,,1.92,86,4849,20.640220120000002,0,,,,,,,,,,,
3480,257.9347610473633,4.0,,,,,,787.9582458496094,269.2147521972656,-0.023790836334228516,860,0.8716761469841003,0.2,0.00395844,-0.010327947800879044,-3.8395969539880754,0.0003,0.18750000409781933
3480,,,1.79,87,4932,15.24390704,0,,,,,,,,,,,
3520,-5.152190685272217,3.0,,,,,,1853.3401580810546,125.9399185180664,-0.0004979372024536133,870,0.8697702288627625,0.2,0.012210336,-0.0068455768860076205,-3.8328957736492155,0.0003,0.16750000342726706
3520,,,1.79,88,5000,15.86832021,0,,,,,,,,,,,
3560,8.518572807312012,2.0,,,,,,2245.5664880752565,152.3704376220703,0.0035687685012817383,880,0.8711084127426147,0.2,0.04210455,0.001757858958444558,-3.832133686542511,0.0003,0.36250000856816766
3560,,,1.81,89,5252,13.173284959999998,0,,,,,,,,,,,
3600,255.12085723876953,5.0,,,,,,688.9858274459839,500.0784606933594,0.013548552989959717,890,0.870229959487915,0.2,0.012494703,-0.00534260662432644,-3.8318279713392256,0.0003,0.34500000849366186
3600,,,1.83,90,5329,14.83152337,0,,,,,,,,,,,
3640,-5.0,1.0,,,,,,1942.8326690673828,155.03453063964844,-0.00016999244689941406,900,0.8679615259170532,0.2,0.018808294,-0.011718799760856236,-3.826553598046303,0.0003,0.2675000062212348
