time/total_timesteps,eval/mean_ep_length,eval/mean_reward,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,train/n_updates,train/clip_range,train/entropy_loss,train/explained_variance,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/approx_kl,train/std,train/loss
7400,5.0,136.0417423248291,,,,,,1403.267893409729,1840,0.2,-3.155559226870537,-0.12267446517944336,0.0003,0.015074173900648025,0.4400000099092722,0.017017294,0.7173835635185242,396.9880676269531
7400,,,4.08,100.3995243,6192,1,185,,,,,,,,,,,
7440,5.0,159.31552124023438,,,,,,1536.1793917179107,1850,0.2,-3.154491665959358,0.3391183614730835,0.0003,-0.012851009316773344,0.11500000171363353,0.013331771,0.7179512977600098,776.103515625
7440,,,4.16,102.58282420999998,6232,1,186,,,,,,,,,,,
7480,5.0,128.8207015991211,,,,,,1028.6390532493592,1860,0.2,-3.1491601705551147,0.39480113983154297,0.0003,-0.016394142395074595,0.40500000976026057,0.041707955,0.7132996320724487,647.3639526367188
7480,,,4.17,104.02541944,6268,1,187,,,,,,,,,,,
7520,5.0,80.90839457511902,,,,,,1321.9232743263244,1870,0.2,-3.136256942152977,0.4351767897605896,0.0003,-0.008242118626385509,0.35000000819563865,0.020853968,0.7118529081344604,218.2770233154297
7520,,,4.25,106.32206711,6304,1,188,,,,,,,,,,,
7560,3.0,55.49717712402344,,,,,,1666.484728050232,1880,0.2,-3.129722738265991,0.20077413320541382,0.0003,-0.019853559195762503,0.33250000700354576,0.13664544,0.7106081247329712,617.5067749023438
7560,,,4.2,102.16694838000001,6339,1,189,,,,,,,,,,,
7600,4.0,89.79602432250977,,,,,,1660.910483932495,1890,0.2,-3.1274083107709885,0.2951439619064331,0.0003,-0.015825048383922003,0.24250000547617673,0.030242397,0.710030734539032,1217.9927978515625
7600,,,4.26,105.00924857,6375,1,190,,,,,,,,,,,
7640,5.0,180.27751922607422,,,,,,1072.995515346527,1900,0.2,-3.129220923781395,0.5001690983772278,0.0003,-0.011235668510180385,0.29750000704079865,0.03514199,0.7120679616928101,532.1431884765625
7640,,,4.27,104.67827290000001,6415,1,191,,,,,,,,,,,
7680,5.0,124.70487403869629,,,,,,2377.001812744141,1910,0.2,-3.1306817799806597,0.29025882482528687,0.0003,-0.037179682091227705,0.4975000098347664,0.040800184,0.7110399603843689,666.339599609375
7680,,,4.27,104.43747135000001,6459,1,192,,,,,,,,,,,
7720,5.0,151.38884353637695,,,,,,1894.2347728729249,1920,0.2,-3.1272511541843415,0.2112891674041748,0.0003,0.00713343807645288,0.26750000547617675,0.029495269,0.7104952335357666,423.9573059082031
7720,,,4.33,104.93114917000001,6503,1,193,,,,,,,,,,,
7760,5.0,147.83545064926147,,,,,,1656.6342173576354,1930,0.2,-3.1230865091085436,0.3173465132713318,0.0003,-0.03554689488199074,0.2500000046566129,0.015977671,0.709531307220459,669.8515014648438
7760,,,4.4,108.79093998,6549,1,194,,,,,,,,,,,
7800,4.0,88.77100372314453,,,,,,1957.808931541443,1940,0.2,-3.12146300971508,0.23278182744979858,0.0003,-0.030896645647444564,0.2300000052899122,0.04241989,0.7095304727554321,989.0912475585938
