time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/value_loss,train/approx_kl,train/entropy_loss,train/loss,train/std,train/learning_rate,train/explained_variance,train/clip_range,train/clip_fraction
12560,590.5319290161133,5.0,,,,,,-0.006082155584608695,3130,26786.837728881837,0.010674013,-2.9882475823163985,13221.21875,0.6716885566711426,0.0003,0.027472198009490967,0.2,0.4450000086799264
12560,,,1,9943,314,364.59910737999996,3.95,,,,,,,,,,,
12600,450.0668754577637,5.0,,,,,,-0.016561902691610154,3140,34934.23851928711,0.014363061,-2.986598515510559,16804.359375,0.6726921796798706,0.0003,0.1555567979812622,0.2,0.22250000424683095
12600,,,1,9962,315,354.32207013,3.88,,,,,,,,,,,
12640,564.6010513305664,5.0,,,,,,-0.03065328535027221,3150,31921.130920410156,0.015373989,-2.9880196392536162,15470.2958984375,0.6717900037765503,0.0003,0.15904361009597778,0.2,0.23500000555068254
12640,,,1,9979,316,359.65923675000005,3.88,,,,,,,,,,,
12680,-5.0,1.0,,,,,,0.04875560003412829,3160,32482.531994628906,0.19141845,-2.9806503742933272,7768.47216796875,0.6698437929153442,0.0003,0.13769561052322388,0.2,0.4675000078976154
12680,,,1,9997,317,371.88674836999996,3.91,,,,,,,,,,,
12720,559.5814819335938,5.0,,,,,,0.0002832531859167098,3170,27813.831384277342,0.063156605,-2.9800480961799622,43094.62109375,0.6714751124382019,0.0003,0.010691285133361816,0.2,0.5075000094249844
12720,,,1,10016,318,358.3679714899999,3.8,,,,,,,,,,,
12760,196.19784450531006,5.0,,,,,,-0.039825382870476454,3180,41540.235540771486,0.017347712,-2.98157114982605,20195.1953125,0.6711286902427673,0.0003,-0.06906962394714355,0.2,0.3225000066682696
12760,,,1,10033,319,358.7936357300001,3.86,,,,,,,,,,,
12800,617.5674514770508,5.0,,,,,,0.0031393914810996294,3190,14661.0359375,0.04482531,-2.972273713350296,3559.327880859375,0.6672766208648682,0.0003,0.42654234170913696,0.2,0.17000000327825546
12800,,,1,10050,320,361.12927697,3.9,,,,,,,,,,,
12840,455.923828125,5.0,,,,,,-0.026221486310532782,3200,24173.27317199707,0.033028096,-2.9592730671167375,5253.21044921875,0.6655466556549072,0.0003,0.1280733346939087,0.2,0.40000000931322577
12840,,,1,10071,321,371.59540896,3.92,,,,,,,,,,,
12880,330.2177734375,5.0,,,,,,-0.01592912665204498,3210,38418.160144042966,0.032573134,-2.951339840888977,23918.22265625,0.6634464263916016,0.0003,0.07731395959854126,0.2,0.2300000049173832
12880,,,1,10088,322,385.39118554,4.0,,,,,,,,,,,
12920,533.5554695129395,5.0,,,,,,0.01470669913476741,3220,26767.795095825197,0.042670727,-2.9449893206357958,7458.87255859375,0.6642228960990906,0.0003,0.11769479513168335,0.2,0.21750000454485416
12920,,,1,10106,323,392.52522906999997,4.05,,,,,,,,,,,
12960,392.7194519042969,4.0,,,,,,-0.031412455465183474,3230,29898.66975708008,0.03275247,-2.9472867876291273,24704.505859375,0.6644999980926514,0.0003,0.07557803392410278,0.2,0.30500000678002837
12960,,,1,10128,324,384.04937356999994,4.01,,,,,,,,,,,
13000,453.85628509521484,5.0,,,,,,-0.017863613326044293,3240,33916.93518066406,0.10460569,-2.946951222419739,43679.9296875,0.6632890701293945,0.0003,0.11304718255996704,0.2,0.47500001080334187
13000,,,1,10149,325,397.57839196000003,4.07,,,,,,,,,,,
13040,602.6404876708984,5.0,,,,,,-0.005851000975662846,3250,35420.46214599609,0.012008062,-2.9375283092260362,15102.03515625,0.660760760307312,0.0003,0.11127030849456787,0.2,0.14250000286847353
13040,,,1,10172,326,397.12952153,4.05,,,,,,,,,,,
13080,615.6550598144531,5.0,,,,,,-0.02816619603345316,3260,33332.76054077149,0.013983838,-2.929217991232872,10045.72265625,0.659192681312561,0.0003,0.13487118482589722,0.2,0.2950000066310167
13080,,,1,10190,327,397.25300594,4.04,,,,,,,,,,,
13120,565.5243759155273,5.0,,,,,,-0.00587029480466299,3270,25104.13561401367,0.039791223,-2.9253282457590104,5267.61181640625,0.6585850119590759,0.0003,0.11926740407943726,0.2,0.3425000080838799
13120,,,1,10209,328,411.8938122799999,4.13,,,,,,,,,,,
13160,473.9895324707031,5.0,,,,,,-0.017025598959735367,3280,35298.28885498047,0.014095916,-2.9236651808023453,10760.0166015625,0.6591554284095764,0.0003,-0.09970235824584961,0.2,0.34000000804662706
13160,,,1,10232,329,413.58071982000007,4.07,,,,,,,,,,,
13200,225.21160125732422,3.0,,,,,,-0.0422530947602354,3290,31317.64971923828,0.06384977,-2.9199721932411196,14181.087890625,0.6572484970092773,0.0003,0.16435855627059937,0.2,0.4275000084191561
13200,,,1,10261,330,416.93445938,4.06,,,,,,,,,,,
13240,459.45720291137695,5.0,,,,,,-0.021678537977495582,3300,26215.584057617187,0.024372887,-2.9154169261455536,9366.1787109375,0.6575288772583008,0.0003,0.0551413893699646,0.2,0.19000000320374966
13240,,,1,10280,331,391.74370917,3.92,,,,,,,,,,,
13280,589.2640380859375,5.0,,,,,,-0.030383214565663376,3310,43690.62056274414,0.035863314,-2.9159382194280625,17558.435546875,0.6577860116958618,0.0003,-0.15715670585632324,0.2,0.25000000558793545
13280,,,1,10299,332,388.69195038000004,3.93,,,,,,,,,,,
13320,497.49715423583984,5.0,,,,,,-0.013836226254343276,3320,25163.710302734376,0.041793387,-2.917083737254143,20090.74609375,0.6578693389892578,0.0003,0.10753369331359863,0.2,0.43500001057982446
13320,,,1,10319,333,383.67760739,3.9,,,,,,,,,,,
13360,402.87220764160156,5.0,,,,,,-0.002533774549156087,3330,34876.64704589844,0.009623966,-2.915205553174019,26627.25390625,0.6569094061851501,0.0003,-0.004002809524536133,0.2,0.16000000294297934
13360,,,1,10341,334,382.09168143000005,3.9,,,,,,,,,,,
13400,736.2801971435547,5.0,,,,,,-0.026762558192131115,3340,25072.75584411621,0.062570915,-2.915168446302414,8702.6455078125,0.6582372784614563,0.0003,0.04327923059463501,0.2,0.42000000961124895
13400,,,1,10360,335,367.1223902000001,3.84,,,,,,,,,,,
13440,332.92543029785156,4.0,,,,,,0.0010065044547082013,3350,37703.46239624023,0.029806761,-2.9201649904251097,47534.58203125,0.6587880849838257,0.0003,-0.03262948989868164,0.2,0.22750000543892385
13440,,,1,10382,336,352.5380097000001,3.74,,,,,,,,,,,
13480,476.7741394042969,5.0,,,,,,-0.028363975217198457,3360,43294.90710449219,0.039601836,-2.920047190785408,27596.1015625,0.6582863330841064,0.0003,-0.1505904197692871,0.2,0.21250000428408383
13480,,,1,10452,337,357.31015027,3.82,,,,,,,,,,,
13520,594.213508605957,5.0,,,,,,-0.02761517568702402,3370,19081.355383300783,0.05695741,-2.915720742940903,12344.7802734375,0.6569182872772217,0.0003,0.23659801483154297,0.2,0.302500008046627
13520,,,1,10469,338,362.64341382999993,3.83,,,,,,,,,,,
13560,523.6850662231445,5.0,,,,,,-0.02102819816573174,3380,38917.04973144531,0.028859833,-2.9075853645801546,17730.533203125,0.6548539400100708,0.0003,0.1875067949295044,0.2,0.19500000346451998
13560,,,1,10489,339,378.17309167999997,3.91,,,,,,,,,,,
13600,432.6635513305664,5.0,,,,,,-0.029976835162378857,3390,23797.148278808592,0.045931652,-2.901683136820793,23702.03515625,0.6560158133506775,0.0003,0.14717066287994385,0.2,0.43000001069158317
13600,,,1,10507,340,376.9932784200001,3.91,,,,,,,,,,,
13640,712.9623260498047,5.0,,,,,,0.016139276595786223,3400,27720.003466796876,0.030625425,-2.9025685667991636,6164.84033203125,0.6546298265457153,0.0003,0.15902173519134521,0.2,0.26250000540167095
13640,,,1,10529,341,388.67088371,3.97,,,,,,,,,,,
13680,564.4425868988037,5.0,,,,,,-0.033629377168253996,3410,41231.87894897461,0.061457526,-2.89668989777565,23819.806640625,0.6546967029571533,0.0003,-0.032623887062072754,0.2,0.27250000573694705
13680,,,1,10551,342,376.7310367399999,3.89,,,,,,,,,,,
13720,545.8947105407715,5.0,,,,,,-0.013434767060171016,3420,45126.70199584961,0.04069813,-2.899588558077812,30685.576171875,0.6548888087272644,0.0003,-0.07083797454833984,0.2,0.19750000461935996
13720,,,1,10574,343,362.05487667999995,3.74,,,,,,,,,,,
13760,401.7077865600586,5.0,,,,,,-0.017884884591112492,3430,49650.43596191406,0.0145211555,-2.9008569061756133,25335.68359375,0.6553037166595459,0.0003,-0.18764638900756836,0.2,0.28000000566244126
13760,,,1,10590,344,363.8920228300001,3.75,,,,,,,,,,,
13800,623.9066467285156,5.0,,,,,,-0.042897542973551014,3440,32812.03521118164,0.048045278,-2.9041804671287537,15403.01953125,0.6561830639839172,0.0003,0.1170492172241211,0.2,0.27250000517815354
13800,,,1,10608,345,375.57429920999994,3.84,,,,,,,,,,,
