time/total_timesteps,eval/mean_ep_length,eval/mean_reward,time/time_elapsed,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,train/approx_kl,train/learning_rate,train/explained_variance,train/n_updates,train/loss,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/clip_range,train/std
2440,5.0,116.2361307144165,,,,,,0.017586907,0.0003,0.19871586561203003,600,276.5063171386719,-3.7871711522340776,0.19750000387430192,-0.022543732141057225,1053.1093999862671,0.2,0.8571061491966248
2440,,,4660,0,49.10053034,3.97,61,,,,,,,,,,,
2480,5.0,99.87380027770996,,,,,,0.03138825,0.0003,0.20284175872802734,610,204.66371154785156,-3.7746356606483458,0.30750000663101673,-0.04193495445455482,829.8692905426026,0.2,0.8547787666320801
2480,,,4701,0,49.31162126,3.97,62,,,,,,,,,,,
2520,5.0,77.70004558563232,,,,,,0.01904564,0.0003,0.11871272325515747,620,1312.387939453125,-3.770253670215607,0.2650000061839819,-0.020270873375156963,1212.6230023384094,0.2,0.8547718524932861
2520,,,4764,0,46.268368689999996,3.85,63,,,,,,,,,,,
2560,2.0,12.67254638671875,,,,,,0.025371516,0.0003,-0.040285587310791016,630,260.7864074707031,-3.7662594258785247,0.19750000368803738,-0.016152843969539386,990.1796155929566,0.2,0.8522593379020691
2560,,,4836,0,47.766196210000004,3.9,64,,,,,,,,,,,
2600,5.0,101.64926624298096,,,,,,0.018311951,0.0003,0.14506959915161133,640,244.04312133789062,-3.752496415376663,0.2575000053271651,-0.02606675912393257,483.04375383853915,0.2,0.8472382426261902
2600,,,4874,0,47.653287520000006,3.97,65,,,,,,,,,,,
2640,5.0,102.81440544128418,,,,,,0.005645615,0.0003,0.0023404359817504883,650,531.1471557617188,-3.7403694719076155,0.1350000023841858,-0.01623541309316352,1133.0349700927734,0.2,0.8465981483459473
2640,,,4913,0,46.48791214,3.94,66,,,,,,,,,,,
2680,5.0,39.153451323509216,,,,,,0.019179497,0.0003,0.09290474653244019,660,247.21725463867188,-3.73906072974205,0.23000000473111867,-0.01656338709402917,757.2759906768799,0.2,0.8462222814559937
2680,,,4961,0,47.954304360000016,4.01,67,,,,,,,,,,,
2720,5.0,19.171839714050293,,,,,,0.014116453,0.0003,0.2152523398399353,670,505.2210998535156,-3.7306543231010436,0.2275000050663948,-0.006636957367591112,457.943044090271,0.2,0.8416149020195007
2720,,,4998,0,51.47597808,4.1,68,,,,,,,,,,,
2760,5.0,107.65199279785156,,,,,,0.028944619,0.0003,0.15346503257751465,680,41.465152740478516,-3.7149105697870253,0.33500000890344384,-0.006081007669563388,930.8208729982376,0.2,0.8394262790679932
2760,,,5033,0,51.92607698,4.13,69,,,,,,,,,,,
2800,5.0,92.39977025985718,,,,,,0.010988196,0.0003,0.18679332733154297,690,182.900390625,-3.704627996683121,0.10250000171363353,-0.007908908224326295,834.8942026138305,0.2,0.8348956108093262
2800,,,5068,0,50.821114539999996,4.12,70,,,,,,,,,,,
