eval/mean_ep_length,time/total_timesteps,eval/mean_reward,time/time_elapsed,time/iterations,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/std,train/approx_kl,train/loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/value_loss,train/entropy_loss
20.0,16600,2374.428888320923,,,,,,,,,,,,,,,,
,16640,,56722,52,10.36,0,1251.25613308,,,,,,,,,,,
2.0,16700,86.73553466796875,,,,,,0.908984363079071,0.0025359625,285192.6875,520,0.0003,0.0002771385581581853,0.2,0.04625000087544322,-0.08282089233398438,465730.8448242188,-3.966247260570526
11.0,16800,1546.6904296875,,,,,,,,,,,,,,,,
20.0,16900,3202.5421714782715,,,,,,,,,,,,,,,,
,16960,,56954,53,9.52,0,1132.9674625999999,,,,,,,,,,,
20.0,17000,2825.220832824707,,,,,,0.9061747789382935,0.0145824,211019.25,530,0.0003,-0.019545215780976833,0.2,0.20593750346451997,-0.03288865089416504,438486.5560546875,-3.9638777166604995
20.0,17100,3152.987075805664,,,,,,,,,,,,,,,,
5.0,17200,492.92826080322266,,,,,,,,,,,,,,,,
,17280,,57199,54,9.73,0,1173.6937808999999,,,,,,,,,,,
10.0,17300,846.2314376831055,,,,,,0.9056999087333679,0.011394465,253735.328125,540,0.0003,-0.014205471165178096,0.2,0.146250002970919,-0.08202111721038818,467990.29619140626,-3.957423262298107
20.0,17400,3048.317672729492,,,,,,,,,,,,,,,,
12.0,17500,1313.0598793029785,,,,,,,,,,,,,,,,
7.0,17600,610.6668586730957,,,,,,,,,,,,,,,,
,17600,,57398,55,9.73,0,1194.8551369099998,,,,,,,,,,,
20.0,17700,2620.6143703460693,,,,,,0.9025601148605347,0.0047406396,269443.875,550,0.0003,-0.007578738959182374,0.2,0.09906250173225999,-0.024456143379211426,580683.5512695312,-3.9518885746598245
20.0,17800,2875.7655715942383,,,,,,,,,,,,,,,,
16.0,17900,2506.517478942871,,,,,,,,,,,,,,,,
,17920,,57638,56,10.08,0,1257.0883624099997,,,,,,,,,,,
16.0,18000,1937.9651899337769,,,,,,0.9019596576690674,0.011801388,171592.96875,560,0.0003,-0.006034307844834075,0.2,0.08312500161118805,-0.014322519302368164,554919.373828125,-3.9462524369359016
3.0,18100,40.34414291381836,,,,,,,,,,,,,,,,
6.0,18200,630.6119537353516,,,,,,,,,,,,,,,,
,18240,,57758,57,10.18,0,1279.42495898,,,,,,,,,,,
20.0,18300,2621.0670471191406,,,,,,0.8984411954879761,0.01527627,423489.34375,570,0.0003,-0.009796615003767783,0.2,0.12593750224914402,-0.11318647861480713,587605.50234375,-3.9387344300746916
6.0,18400,693.6492462158203,,,,,,,,,,,,,,,,
10.0,18500,1095.635684967041,,,,,,,,,,,,,,,,
,18560,,57916,58,10.48,0,1339.96820502,,,,,,,,,,,
8.0,18600,621.8013210296631,,,,,,0.898615837097168,0.006801896,361860.53125,580,0.0003,-0.009905209005555093,0.2,0.09125000177882611,-0.08115088939666748,613123.0658203125,-3.932415795326233
20.0,18700,2845.9198684692383,,,,,,,,,,,,,,,,
12.0,18800,1885.9078750610352,,,,,,,,,,,,,,,,
,18880,,58053,59,10.34,0,1310.72800651,,,,,,,,,,,
20.0,18900,3371.8513312339783,,,,,,0.8974854350090027,0.0076848837,311034.28125,590,0.0003,-0.005288932001190005,0.2,0.08375000138767064,0.022103965282440186,516468.1543945313,-3.932140511274338
5.0,19000,460.2294578552246,,,,,,,,,,,,,,,,
12.0,19100,1338.734962463379,,,,,,,,,,,,,,,,
5.0,19200,433.0475769042969,,,,,,,,,,,,,,,,
,19200,,58203,60,10.0,0,1227.2631557099999,,,,,,,,,,,
19.0,19300,1889.207462310791,,,,,,0.8938049674034119,0.010691842,187552.921875,600,0.0003,-0.002862067980413485,0.2,0.12125000222586095,-0.07770347595214844,433520.24609375,-3.9235169142484665
20.0,19400,3128.5118293762207,,,,,,,,,,,,,,,,
13.0,19500,1780.2250289916992,,,,,,,,,,,,,,,,
,19520,,58346,61,9.74,0,1160.34130568,,,,,,,,,,,
2.0,19600,28.176895141601562,,,,,,0.8928626775741577,0.0073453477,242422.515625,610,0.0003,-0.0034186024173948224,0.2,0.09218750193249434,-0.06291067600250244,476406.247265625,-3.9163835063576697
20.0,19700,2714.1235733032227,,,,,,,,,,,,,,,,
20.0,19800,2880.650405883789,,,,,,,,,,,,,,,,
,19840,,58525,62,9.97,0,1173.09184649,,,,,,,,,,,
20.0,19900,2581.098976135254,,,,,,0.8879736661911011,0.19309029,278627.625,620,0.0003,0.04409545529290426,0.2,0.23000000447500496,-0.04699122905731201,446149.4336914063,-3.9064117938280107
5.0,20000,340.2892074584961,,,,,,,,,,,,,,,,
9.0,20100,904.7953720092773,,,,,,,,,,,,,,,,
,20160,,58728,63,9.84,0,1191.67376961,,,,,,,,,,,
11.0,20200,1300.51025390625,,,,,,0.8868087530136108,0.0064243516,183712.125,630,0.0003,-0.005031408231911882,0.2,0.06531250150874257,-0.08870184421539307,459904.916796875,-3.8939661741256715
12.0,20300,1328.4794731140137,,,,,,,,,,,,,,,,
8.0,20400,692.5552444458008,,,,,,,,,,,,,,,,
,20480,,58891,64,9.11,0,1078.2490622899998,,,,,,,,,,,
6.0,20500,654.756721496582,,,,,,0.8844631910324097,0.00464605,144636.109375,640,0.0003,-0.01115393500247137,0.2,0.09062500179279595,-0.052613139152526855,392551.33515625,-3.8874137088656426
3.0,20600,165.57965850830078,,,,,,,,,,,,,,,,
17.0,20700,2084.5079498291016,,,,,,,,,,,,,,,,
18.0,20800,2538.2784271240234,,,,,,,,,,,,,,,,
