time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/fps,rollout/ep_len_mean,train/clip_range,train/std,train/entropy_loss,train/policy_gradient_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,train/value_loss
12160,294.05657033,38,4287,2,10.83,0.2,0.9117545485496521,-3.980588544905186,-0.010329712843267771,-0.24629676342010498,0.0003,0.011754748,12720.8486328125,0.12062500210013241,370,25498.61051635742
12480,293.39626867000004,39,4355,2,10.13,0.2,0.9103851318359375,-3.975869980454445,-0.007356676659279637,-0.11968302726745605,0.0003,0.013674801,9991.224609375,0.13406250202096998,380,27196.493157958983
12800,294.87132763,40,4469,2,9.58,0.2,0.9042752981185913,-3.9630489096045496,-0.003940894827222792,-0.06728827953338623,0.0003,0.009210645,11953.6279296875,0.08625000172760337,390,24970.904663085938
13120,310.01989710999993,41,4611,2,10.07,0.2,0.9016178846359253,-3.9493890359997748,-0.006720946136620115,-0.13043296337127686,0.0003,0.008409165,9804.11328125,0.15625000356230884,400,25673.664819335936
13440,289.84609174999997,42,4677,2,9.78,0.2,0.9020342230796814,-3.943677859008312,0.0007955422042869031,-0.16220009326934814,0.0003,0.03465656,11699.5224609375,0.16750000326428563,410,23902.62388305664
13760,291.23149417,43,4742,2,9.92,0.2,0.9009222984313965,-3.9415051236748697,-0.0009776012465226747,-0.11935687065124512,0.0003,0.008344829,15285.8935546875,0.14562500298488884,420,29005.565393066405
14080,278.48211474000004,44,4889,2,9.75,0.2,0.9029261469841003,-3.9442941710352897,-0.006032684479500861,-0.1479780673980713,0.0003,0.0043089776,11446.853515625,0.1337500022724271,430,31113.100604248048
14400,262.01981906000003,45,4996,2,9.29,0.2,0.896129310131073,-3.9365359410643577,0.002439966153797285,-0.2110956907272339,0.0003,0.003531021,13167.7412109375,0.21375000348780304,440,23457.837652587892
14720,244.34911408000005,46,5089,2,8.67,0.2,0.8946707248687744,-3.9209726452827454,0.021674540553472066,-0.06719672679901123,0.0003,0.13306324,8060.1826171875,0.30281250569969415,450,21112.78660888672
15040,255.04142593,47,5194,2,9.27,0.2,0.8919299840927124,-3.9128598392009737,0.0017014693530563812,-0.1483004093170166,0.0003,0.0060343016,17081.236328125,0.13968750291969628,460,25442.410626220702
15360,251.83293912000002,48,5261,2,9.33,0.2,0.891984224319458,-3.9104792535305024,0.006739843734777084,-0.18879973888397217,0.0003,0.01133078,12500.3037109375,0.10562500169035047,470,19707.098083496094
15680,255.86256483,49,5366,2,9.25,0.2,0.8902865648269653,-3.906925454735756,-0.006254092219824081,-0.1802893877029419,0.0003,0.029579438,12845.2412109375,0.1496875029290095,480,20556.87190551758
16000,258.64262880999996,50,5435,2,8.47,0.2,0.8865849375724792,-3.8988514631986617,-0.007413356386468876,-0.13569533824920654,0.0003,0.014650863,14817.044921875,0.08843750178348272,490,31079.070666503907
16320,309.90187646000004,51,5502,2,9.4,0.2,0.8840627670288086,-3.8860908165574073,-0.0035572543691614555,-0.06733965873718262,0.0003,0.008416751,18334.599609375,0.12281250229571014,500,29646.515423583984
16640,317.54610239,52,5587,2,9.35,0.2,0.8842369914054871,-3.8833099007606506,-0.00902772894034114,-0.06126224994659424,0.0003,0.009796673,12175.4580078125,0.07250000142958016,510,31757.592388916015
16960,331.36692880000004,53,5658,2,9.86,0.2,0.8835868239402771,-3.8823850214481355,-0.005148220011062821,-0.1271277666091919,0.0003,0.006934691,24918.630859375,0.07281250129453838,520,38215.602502441405
17280,331.98002267,54,5740,3,10.06,0.2,0.8808547258377075,-3.876576317846775,-0.002687639858922919,-0.13069677352905273,0.0003,0.0051550367,18220.19140625,0.026562500512227416,530,32466.876818847657
17600,318.51952819,55,5890,2,10.08,0.2,0.8816809058189392,-3.874031974375248,-0.0024043395510716437,-0.06694996356964111,0.0003,0.007596188,11798.17578125,0.06781250145286322,540,29083.861657714842
